j0; j1; j2; cos(j0); cos(j1); cos(j2); sin(j0); sin(j1); sin(j2); ee_x; ee_y; ee_qw; ee_qz
-1.880;  0.159;  0.684; -0.304;  0.987;  0.775; -0.953;  0.158;  0.632;  0.010; -0.289;  0.868; -0.496
-1.766;  0.184;  0.486; -0.193;  0.983;  0.884; -0.981;  0.183;  0.467;  0.030; -0.296;  0.854; -0.521
-1.624;  0.266;  0.269; -0.053;  0.965;  0.964; -0.999;  0.263;  0.266;  0.067; -0.295;  0.855; -0.518
-1.458;  0.415;  0.057;  0.112;  0.915;  0.998; -0.994;  0.403;  0.057;  0.122; -0.278;  0.881; -0.474
-1.266;  0.595; -0.103;  0.300;  0.828;  0.995; -0.954;  0.560; -0.103;  0.187; -0.235;  0.926; -0.378
-1.059;  0.809; -0.216;  0.490;  0.690;  0.977; -0.872;  0.724; -0.214;  0.244; -0.161;  0.973; -0.231
-0.884;  1.026; -0.335;  0.634;  0.518;  0.944; -0.774;  0.855; -0.329;  0.270; -0.084;  0.995; -0.097
-0.789;  1.231; -0.487;  0.705;  0.333;  0.884; -0.710;  0.943; -0.468;  0.271; -0.033;  1.000; -0.022
-0.703;  1.436; -0.661;  0.763;  0.134;  0.789; -0.647;  0.991; -0.614;  0.260;  0.010;  0.999;  0.036
-0.610;  1.596; -0.840;  0.820; -0.025;  0.667; -0.573;  1.000; -0.745;  0.246;  0.042;  0.997;  0.073
-0.537;  1.763; -1.021;  0.859; -0.191;  0.522; -0.512;  0.982; -0.853;  0.227;  0.065;  0.995;  0.102
-0.500;  1.853; -1.199;  0.878; -0.278;  0.363; -0.479;  0.960; -0.932;  0.218;  0.067;  0.997;  0.079
-0.476;  1.837; -1.383;  0.889; -0.263;  0.187; -0.458;  0.965; -0.982;  0.220;  0.050;  1.000; -0.011
-0.395;  1.782; -1.565;  0.923; -0.209;  0.006; -0.385;  0.978; -1.000;  0.219;  0.040;  0.996; -0.089
-0.250;  1.686; -1.735;  0.969; -0.115; -0.164; -0.247;  0.993; -0.986;  0.215;  0.042;  0.989; -0.149
-0.051;  1.589; -1.854;  0.999; -0.018; -0.279; -0.051;  1.000; -0.960;  0.208;  0.060;  0.987; -0.160
 0.174;  1.521; -1.843;  0.985;  0.050; -0.269;  0.174;  0.999; -0.963;  0.195;  0.100;  0.997; -0.074
 0.437;  1.460; -1.808;  0.906;  0.111; -0.235;  0.423;  0.994; -0.972;  0.168;  0.147;  0.999;  0.044
 0.755;  1.391; -1.788;  0.728;  0.178; -0.216;  0.685;  0.984; -0.976;  0.121;  0.191;  0.984;  0.178
 1.065;  1.352; -1.786;  0.485;  0.217; -0.213;  0.875;  0.976; -0.977;  0.062;  0.219;  0.951;  0.310
