j0; j1; cos(j0); cos(j1); sin(j0); sin(j1); ee_x; ee_y; ee_qw; ee_qz
 2.452; -0.301; -0.772;  0.955;  0.636; -0.297; -0.137;  0.156;  0.475;  0.880
 2.617; -0.443; -0.866;  0.903;  0.500; -0.429; -0.149;  0.141;  0.465;  0.885
 2.753; -0.657; -0.926;  0.792;  0.379; -0.611; -0.148;  0.133;  0.499;  0.867
 2.928; -0.921; -0.977;  0.605;  0.212; -0.796; -0.144;  0.121;  0.537;  0.843
 3.136; -1.221; -1.000;  0.343;  0.006; -0.939; -0.137;  0.104;  0.576;  0.818
 3.230; -1.538; -0.996;  0.033; -0.089; -0.999; -0.113;  0.100;  0.661;  0.750
 3.197; -1.811; -0.998; -0.238; -0.056; -0.971; -0.080;  0.103;  0.769;  0.639
 3.119; -2.035; -1.000; -0.448;  0.022; -0.894; -0.049;  0.099;  0.857;  0.516
 3.028; -2.208; -0.994; -0.595;  0.113; -0.804; -0.024;  0.092;  0.917;  0.399
 2.943; -2.313; -0.980; -0.676;  0.197; -0.737; -0.009;  0.085;  0.951;  0.310
 2.854; -2.351; -0.959; -0.704;  0.284; -0.711;  0.001;  0.081;  0.969;  0.249
 2.779; -2.357; -0.935; -0.708;  0.355; -0.706;  0.007;  0.081;  0.978;  0.209
 2.749; -2.382; -0.924; -0.725;  0.383; -0.688;  0.010;  0.078;  0.983;  0.182
 2.759; -2.393; -0.928; -0.733;  0.373; -0.681;  0.010;  0.077;  0.983;  0.182
 2.766; -2.346; -0.930; -0.700;  0.366; -0.714;  0.007;  0.082;  0.978;  0.209
 2.731; -2.287; -0.917; -0.657;  0.399; -0.754;  0.008;  0.087;  0.975;  0.220
 2.643; -2.227; -0.878; -0.610;  0.478; -0.792;  0.013;  0.092;  0.978;  0.207
 2.498; -2.163; -0.800; -0.558;  0.600; -0.830;  0.024;  0.096;  0.986;  0.167
 2.335; -2.080; -0.692; -0.488;  0.722; -0.873;  0.037;  0.100;  0.992;  0.127
