j0; j1; j2; j3; j4; cos(j0); cos(j1); cos(j2); cos(j3); cos(j4); sin(j0); sin(j1); sin(j2); sin(j3); sin(j4); ee_x; ee_y; ee_z; ee_qw; ee_qx; ee_qy; ee_qz
-0.287; -0.922;  0.320;  1.590;  1.343;  0.959;  0.604;  0.949; -0.020;  0.226; -0.283; -0.797;  0.314;  1.000;  0.974; -0.063; -0.103;  0.370;  0.640;  0.595;  0.289; -0.390
-0.237; -0.905;  0.438;  1.579;  1.394;  0.972;  0.617;  0.906; -0.009;  0.176; -0.235; -0.787;  0.424;  1.000;  0.984; -0.042; -0.112;  0.361;  0.607;  0.589;  0.337; -0.413
-0.219; -0.876;  0.568;  1.575;  1.449;  0.976;  0.640;  0.843; -0.004;  0.122; -0.217; -0.768;  0.538;  1.000;  0.993; -0.020; -0.118;  0.349;  0.557;  0.579;  0.382; -0.456
-0.219; -0.876;  0.735;  1.552;  1.496;  0.976;  0.641;  0.742;  0.019;  0.074; -0.217; -0.768;  0.670;  1.000;  0.997; -0.004; -0.122;  0.334;  0.507;  0.567;  0.416; -0.499
-0.203; -0.910;  0.949;  1.536;  1.589;  0.979;  0.614;  0.583;  0.035; -0.018; -0.201; -0.790;  0.813;  0.999;  1.000;  0.005; -0.124;  0.312;  0.441;  0.551;  0.443; -0.553
-0.165; -0.950;  1.214;  1.585;  1.615;  0.986;  0.582;  0.349; -0.014; -0.044; -0.164; -0.813;  0.937;  1.000;  0.999;  0.024; -0.126;  0.275;  0.367;  0.479;  0.514; -0.609
-0.163; -0.969;  1.503;  1.606;  1.597;  0.987;  0.567;  0.068; -0.035; -0.026; -0.163; -0.824;  0.998;  0.999;  1.000;  0.039; -0.128;  0.232;  0.282;  0.392;  0.582; -0.654
-0.174; -0.936;  1.642;  1.566;  1.566;  0.985;  0.593; -0.071;  0.005;  0.005; -0.173; -0.805;  0.997;  1.000;  1.000;  0.049; -0.130;  0.208;  0.240;  0.350;  0.616; -0.664
-0.193; -0.855;  1.631;  1.508;  1.541;  0.982;  0.656; -0.061;  0.063;  0.030; -0.191; -0.755;  0.998;  0.998;  1.000;  0.059; -0.134;  0.208;  0.235;  0.351;  0.622; -0.659
-0.256; -0.732;  1.606;  1.453;  1.548;  0.968;  0.744; -0.036;  0.118;  0.023; -0.253; -0.668;  0.999;  0.993;  1.000;  0.063; -0.140;  0.207;  0.199;  0.358;  0.616; -0.673
-0.351; -0.548;  1.575;  1.379;  1.574;  0.939;  0.853; -0.004;  0.191; -0.003; -0.344; -0.521;  1.000;  0.982;  1.000;  0.066; -0.152;  0.201;  0.135;  0.366;  0.604; -0.695
-0.436; -0.327;  1.511;  1.296;  1.571;  0.906;  0.947;  0.060;  0.272; -0.001; -0.423; -0.321;  0.998;  0.962;  1.000;  0.074; -0.167;  0.190;  0.079;  0.369;  0.603; -0.703
-0.535; -0.128;  1.439;  1.247;  1.573;  0.860;  0.992;  0.132;  0.318; -0.002; -0.510; -0.128;  0.991;  0.948;  1.000;  0.073; -0.183;  0.177;  0.017;  0.375;  0.598; -0.708
-0.660;  0.075;  1.371;  1.247;  1.582;  0.790;  0.997;  0.198;  0.319; -0.011; -0.613;  0.075;  0.980;  0.948;  1.000;  0.058; -0.197;  0.156; -0.077;  0.372;  0.597; -0.707
-0.777;  0.329;  1.282;  1.221;  1.580;  0.713;  0.946;  0.285;  0.342; -0.009; -0.701;  0.323;  0.958;  0.940;  1.000;  0.044; -0.212;  0.126; -0.165;  0.365;  0.602; -0.691
-0.900;  0.593;  1.218;  1.131;  1.577;  0.622;  0.829;  0.346;  0.426; -0.006; -0.783;  0.559;  0.938;  0.905;  1.000;  0.025; -0.224;  0.088; -0.244;  0.369;  0.601; -0.666
-1.002;  0.874;  1.221;  1.002;  1.575;  0.538;  0.642;  0.343;  0.538; -0.004; -0.843;  0.767;  0.939;  0.843;  1.000; -0.002; -0.220;  0.036; -0.327;  0.353;  0.611; -0.629
-1.078;  1.211;  1.213;  0.856;  1.573;  0.473;  0.353;  0.350;  0.656; -0.002; -0.881;  0.936;  0.937;  0.755;  1.000; -0.030; -0.197; -0.023; -0.404;  0.320;  0.630; -0.581
-1.152;  1.558;  1.182;  0.726;  1.534;  0.407;  0.012;  0.379;  0.748;  0.036; -0.913;  1.000;  0.925;  0.664;  0.999; -0.063; -0.154; -0.078; -0.471;  0.293;  0.657; -0.511
-1.199;  1.698;  1.129;  0.645;  1.431;  0.363; -0.127;  0.428;  0.799;  0.139; -0.932;  0.992;  0.904;  0.601;  0.990; -0.075; -0.135; -0.109; -0.470;  0.329;  0.676; -0.462
-1.252;  1.664;  1.039;  0.616;  1.263;  0.314; -0.093;  0.507;  0.816;  0.303; -0.949;  0.996;  0.862;  0.578;  0.953; -0.068; -0.159; -0.124; -0.403;  0.428;  0.682; -0.435
-1.342;  1.620;  0.956;  0.582;  1.081;  0.227; -0.050;  0.577;  0.836;  0.471; -0.974;  0.999;  0.817;  0.549;  0.882; -0.066; -0.186; -0.135; -0.325;  0.530;  0.674; -0.399
-1.455;  1.595;  0.884;  0.508;  0.912;  0.116; -0.024;  0.634;  0.874;  0.612; -0.993;  1.000;  0.774;  0.487;  0.791; -0.070; -0.216; -0.141; -0.241;  0.621;  0.646; -0.374
-1.549;  1.583;  0.805;  0.417;  0.730;  0.022; -0.012;  0.693;  0.914;  0.745; -1.000;  1.000;  0.721;  0.405;  0.667; -0.074; -0.255; -0.139; -0.134;  0.687;  0.616; -0.361
-1.586;  1.577;  0.751;  0.350;  0.539; -0.015; -0.006;  0.731;  0.939;  0.858; -1.000;  1.000;  0.683;  0.343;  0.513; -0.066; -0.286; -0.136; -0.030;  0.712;  0.614; -0.340
-1.557;  1.574;  0.741;  0.305;  0.360;  0.014; -0.004;  0.737;  0.954;  0.936; -1.000;  1.000;  0.675;  0.300;  0.353; -0.038; -0.305; -0.137;  0.059;  0.700;  0.644; -0.301
-1.474;  1.573;  0.772;  0.230;  0.175;  0.097; -0.003;  0.717;  0.974;  0.985; -0.995;  1.000;  0.698;  0.227;  0.174;  0.010; -0.314; -0.139;  0.150;  0.661;  0.692; -0.249
-1.372;  1.555;  0.809;  0.163; -0.002;  0.197;  0.016;  0.690;  0.987;  1.000; -0.980;  1.000;  0.723;  0.162; -0.002;  0.064; -0.317; -0.133;  0.235;  0.603;  0.738; -0.191
-1.266;  1.525;  0.815;  0.123; -0.173;  0.300;  0.045;  0.686;  0.992;  0.985; -0.954;  0.999;  0.728;  0.123; -0.172;  0.120; -0.314; -0.118;  0.315;  0.533;  0.774; -0.131
-1.132;  1.483;  0.812;  0.102; -0.326;  0.425;  0.088;  0.688;  0.995;  0.947; -0.905;  0.996;  0.726;  0.102; -0.320;  0.182; -0.298; -0.096;  0.384;  0.443;  0.807; -0.065
-0.964;  1.386;  0.766;  0.122; -0.469;  0.570;  0.184;  0.721;  0.993;  0.892; -0.821;  0.983;  0.693;  0.122; -0.452;  0.255; -0.272; -0.049;  0.460;  0.322;  0.827; -0.003
